,John,,,,Jessica,,,
Taxon,Percher,Flyer,Intermediate,Reference or reasoning,Percher,Flyer,Intermediate,Reference or reasoning
Lestidae - Spreadwings,,,,,,,,
"Archilestes californicus McLachlan, 1895 - California Spreadwing",x,,,,X,,,
"Archilestes grandis (Rambur, 1842) - Great Spreadwing",x,,,,X,,,
"Lestes alacer Hagen, 1861 - Plateau Spreadwing",x,,,,X,,,
"Lestes australis Walker, 1952 - Southern Spreadwing",x,,,,X,,,
"Lestes congener Hagen, 1861 - Spotted Spreadwing",x,,,,X,,,
"Lestes disjunctus Selys, 1862 - Northern Spreadwing",x,,,,X,,,
"Lestes dryas Kirby, 1890 - Emerald Spreadwing",x,,,,X,,,
"Lestes eurinus Say, 1839 - Amber-winged Spreadwing",x,,,,X,,,
"Lestes forcipatus Rambur, 1842 - Sweetflag Spreadwing",x,,,,X,,,
"Lestes forficula Rambur, 1842 - Rainpool Spreadwing",x,,,,X,,,
"Lestes inaequalis Walsh, 1862 - Elegant Spreadwing",x,,,,X,,,
"Lestes rectangularis Say, 1839 - Slender Spreadwing",x,,,,X,,,
"Lestes sigma Calvert, 1901 - Chalky Spreadwing",x,,,,X,,,
"Lestes spumarius Hagen in Selys, 1862 - Antillean Spreadwing",x,,,,X,,,
"Lestes stultus Hagen, 1861 - Black Spreadwing",x,,,,X,,,
"Lestes tenuatus Rambur, 1842 - Blue-striped Spreadwing",x,,,,X,,,
"Lestes unguiculatus Hagen, 1861 - Lyre-tipped Spreadwing",x,,,,X,,,
"Lestes vidua Hagen, 1861 - Carolina Spreadwing",x,,,,X,,,
"Lestes vigilax Hagen in Selys, 1862 - Swamp Spreadwing",x,,,,X,,,
,,,,,,,,
Platystictidae - Shadowdamsels,,,,,,,,
"Palaemnema domina Calvert, 1903 - Desert Shadowdamsel",x,,,,,,,
,,,,,,,,
Calopterygidae - Jewelwings,,,,,,,,
"Calopteryx aequabilis Say, 1839 - River Jewelwing",x,,,,X,,,
"Calopteryx amata Hagen, 1889 - Superb Jewelwing",x,,,,X,,,
"Calopteryx angustipennis (Selys, 1853) - Appalachian Jewelwing",x,,,,X,,,
"Calopteryx dimidiata Burmeister, 1839 - Sparkling Jewelwing",x,,,,X,,,
"Calopteryx maculata (Beauvois, 1805) - Ebony Jewelwing",x,,,,X,,,
"Hetaerina americana (Fabricius, 1798) - American Rubyspot",x,,,,X,,,
"Hetaerina calverti Vega-Sánchez, Mendoza-Cuenca & González-Soriano, 2020 - Cryptic Rubyspot",x,,,,X,,,
"Hetaerina titia (Drury, 1773) - Smoky Rubyspot",x,,,,X,,,
"Hetaerina vulnerata Hagen in Selys, 1853 - Canyon Rubyspot",x,,,,X,,,
,,,,,,,,
Coenagrionidae - Pond Damsels,,,,,,,,
"Acanthagrion quadratum Selys, 1876 - Mexican Wedgetail",x,,,,X,,,
"Amphiagrion abbreviatum (Selys, 1876) - Western Red Damsel",x,,,,X,,,
"Amphiagrion saucium (Burmeister, 1839) - Eastern Red Damsel",x,,,,X,,,
"Apanisagrion lais (Selys, 1876) - Black-and-white Damsel",x,,,,X,,,
"Argia agrioides Calvert, 1895 - California Dancer",x,,,,X,,,
"Argia alberta Kennedy, 1918 - Paiute Dancer",x,,,,X,,,
"Argia anceps Garrison, 1996 - Cerulean Dancer",x,,,,X,,,
"Argia apicalis (Say, 1839) - Blue-fronted Dancer",x,,,,X,,,
"Argia barretti Calvert, 1902 - Comanche Dancer",x,,,,X,,,
"Argia bipunctulata (Hagen, 1861) - Seepage Dancer",x,,,,X,,,
"Argia carlcooki Daigle, 1995 - Yaqui Dancer",x,,,,X,,,
"Argia cuprea (Hagen, 1861) - Coppery Dancer",x,,,,X,,,
"Argia emma Kennedy, 1915 - Emma’s Dancer",x,,,,X,,,
"Argia extranea (Hagen, 1861) - Spine-tipped Dancer",x,,,,X,,,
"Argia fumipennis (Burmeister, 1839) - Variable Dancer",x,,,,X,,,
"Argia funebris Hagen, 1861 - Springwater Dancer",x,,,,X,,,
"Argia harknessi Calvert, 1899 - Harkness’s Dancer",x,,,,X,,,
"Argia hinei Kennedy, 1918 - Lavender Dancer",x,,,,X,,,
"Argia immunda (Hagen, 1861) - Kiowa Dancer",x,,,,X,,,
"Argia lacrimans (Hagen, 1861) - Sierra Madre Dancer",x,,,,X,,,
"Argia leonorae Garrison, 1994 - Leonora’s Dancer",x,,,,X,,,
"Argia lugens (Hagen, 1861) - Sooty Dancer",x,,,,X,,,
"Argia moesta (Hagen, 1861) - Powdered Dancer",x,,,,X,,,
"Argia munda Calvert, 1902 - Apache Dancer",x,,,,X,,,
"Argia nahuana Calvert, 1902 - Aztec Dancer",x,,,,X,,,
"Argia oculata Hagen in Selys, 1865 - Oculate Dancer",x,,,,X,,,
"Argia oenea Hagen in Selys, 1865 - Fiery-eyed Dancer",x,,,,X,,,
"Argia pallens Calvert, 1902 - Amethyst Dancer",x,,,,X,,,
"Argia pima Garrison, 1994 - Pima Dancer",x,,,,X,,,
"Argia rhoadsi Calvert, 1902 - Golden-winged Dancer",x,,,,X,,,
"Argia sabino Garrison, 1994 - Sabino Dancer",x,,,,X,,,
"Argia sedula (Hagen, 1861) - Blue-ringed Dancer",x,,,,X,,,
"Argia tarascana Calvert, 1902 - Tarascan Dancer",x,,,,X,,,
"Argia tezpi Calvert, 1902 - Tezpi Dancer",x,,,,X,,,
"Argia tibialis (Rambur, 1842) - Blue-tipped Dancer",x,,,,X,,,
"Argia tonto Calvert, 1902 - Tonto Dancer",x,,,,X,,,
"Argia translata Hagen in Selys, 1865 - Dusky Dancer",x,,,,X,,,
"Argia vivida Hagen in Selys, 1865 - Vivid Dancer",x,,,,X,,,
"Chromagrion conditum (Selys, 1876) - Aurora Damsel",x,,,,X,,,
"Coenagrion angulatum Walker, 1912 - Prairie Bluet",x,,,,X,,,
"Coenagrion interrogatum (Hagen in Selys, 1876) - Subarctic Bluet",x,,,,X,,,
"Coenagrion resolutum (Hagen in Selys, 1876) - Taiga Bluet",x,,,,X,,,
"Enallagma anna Williamson, 1900 - River Bluet",x,,,,X,,,
"Enallagma annexum (Hagen, 1861) - Northern Bluet",x,,,,X,,,
"Enallagma antennatum (Say, 1839) - Rainbow Bluet",x,,,,X,,,
"Enallagma aspersum (Hagen, 1861) - Azure Bluet",x,,,,X,,,
"Enallagma basidens Calvert, 1902 - Double-striped Bluet",x,,,,X,,,
"Enallagma boreale Selys, 1875 - Boreal Bluet",x,,,,X,,,
"Enallagma cardenium Selys, 1876 - Purple Bluet",x,,,,X,,,
