Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,imageID,dorsal_lateral_bad,weight_bad,weight_dorsal,weight_lateral,conf_infers1,conf_infers3,conf_infers5,conf_infers7,bad_signifier
0.0,0.0,0.0,INAT-21041516-1,lateral,-4.128180503845215,-6.400802612304688,10.50384521484375,lateral,lateral,lateral,lateral,
1.0,1.0,1.0,INAT-51725771-2,lateral,-9.86423110961914,-3.204457521438598,13.06586456298828,lateral,lateral,lateral,lateral,
2.0,2.0,2.0,INAT-66029932-4,lateral,-2.6095874309539795,-8.984969139099121,11.662306785583496,lateral,lateral,lateral,lateral,
3.0,3.0,3.0,INAT-3831533-10,bad,3.44496750831604,-6.887641906738281,3.3538639545440674,bad,bad,bad,bad,
4.0,4.0,4.0,INAT-30984036-1,lateral,-7.82554292678833,-4.82292366027832,12.318254470825195,lateral,lateral,lateral,lateral,
5.0,5.0,5.0,INAT-123389073-1,dorsal,-1.977948904037476,7.997915744781494,-6.438516616821289,dorsal,dorsal,dorsal,dorsal,
6.0,6.0,6.0,INAT-88057441-1,bad,7.061027526855469,-5.125589847564697,-2.552188873291016,bad,bad,bad,bad,
7.0,7.0,7.0,INAT-12940643-1,bad,2.148025751113892,-0.8997611999511719,-1.7000796794891355,bad,bad,bad,bad,
8.0,8.0,8.0,INAT-44969779-1,lateral,1.3302496671676636,-4.714903354644775,3.171946287155152,lateral,bad,bad,bad,
9.0,9.0,9.0,INAT-63054396-1,dorsal,-4.315474033355713,8.533113479614258,-4.436563968658447,dorsal,dorsal,dorsal,dorsal,
10.0,10.0,10.0,INAT-9726911-2,dorsal,0.5722460150718689,0.5851309895515442,-1.3003541231155396,bad,bad,bad,bad,
11.0,11.0,11.0,INAT-89010325-3,lateral,-1.301713228225708,-2.7783846855163574,4.344137191772461,lateral,lateral,lateral,bad,
12.0,12.0,12.0,INAT-119846877-5,bad,1.6772968769073486,-0.3534761667251587,-1.591028928756714,bad,bad,bad,bad,
13.0,13.0,13.0,INAT-80400318-1,dorsal,-4.5015645027160645,4.47298526763916,-0.4089893698692322,dorsal,dorsal,bad,bad,
14.0,14.0,14.0,INAT-24899864-2,lateral,-0.1354309022426605,-2.5661497116088867,2.7609667778015137,lateral,bad,bad,bad,
15.0,15.0,15.0,INAT-123403457-2,bad,4.6616315841674805,-5.68226957321167,0.6867708563804626,bad,bad,bad,bad,
16.0,16.0,16.0,INAT-133623278-5,lateral,0.2451343238353729,-9.595849990844728,9.205108642578123,lateral,lateral,lateral,lateral,
17.0,17.0,17.0,INAT-96248149-2,lateral,-0.3273979127407074,-2.71931529045105,2.8920681476593018,lateral,lateral,bad,bad,
18.0,18.0,18.0,INAT-51535826-1,lateral,-0.0624239481985569,-0.8611029982566833,0.7848610281944275,bad,bad,bad,bad,
19.0,19.0,19.0,INAT-122750840-4,lateral,-2.449083089828491,-9.31060791015625,11.79360580444336,lateral,lateral,lateral,lateral,
20.0,20.0,20.0,INAT-53528082-3,bad,1.228936791419983,0.53816157579422,-1.8860872983932493,bad,bad,bad,bad,
21.0,21.0,21.0,INAT-83227246-1,dorsal,-6.296203136444092,7.547523021697998,-1.3926984071731567,dorsal,dorsal,dorsal,dorsal,
22.0,22.0,22.0,INAT-133369351-3,dorsal,-5.878015995025635,8.270618438720703,-2.6692960262298584,dorsal,dorsal,dorsal,dorsal,
23.0,23.0,23.0,INAT-12725793-1,bad,7.928606986999512,-12.623631477355955,4.412276744842529,bad,bad,bad,bad,
24.0,24.0,24.0,INAT-123023145-9,lateral,-0.965589165687561,-0.2360612750053405,1.065023422241211,lateral,bad,bad,bad,
25.0,25.0,25.0,INAT-6491791-2,bad,7.459751605987549,-7.3893537521362305,-0.5499119162559509,bad,bad,bad,bad,
26.0,26.0,26.0,INAT-384473-1,lateral,2.429940223693848,-8.401515007019043,6.005145072937012,lateral,lateral,bad,bad,
27.0,27.0,27.0,INAT-36209544-1,lateral,0.2574271857738495,-4.704872608184815,4.402900218963623,lateral,lateral,bad,bad,
28.0,28.0,28.0,INAT-78290081-2,bad,8.563715934753418,-6.525516510009766,-1.7715238332748413,bad,bad,bad,bad,
29.0,29.0,29.0,INAT-81936899-1,lateral,0.3779714405536651,-10.908126831054688,10.577686309814451,lateral,lateral,lateral,lateral,
30.0,30.0,30.0,INAT-54762234-4,lateral,-5.553350925445557,-4.514885902404785,10.168441772460938,lateral,lateral,lateral,lateral,
31.0,31.0,31.0,INAT-14428390-1,dorsal,-6.223489761352539,8.572649955749512,-2.590841770172119,dorsal,dorsal,dorsal,dorsal,
32.0,32.0,32.0,INAT-7580982-2,dorsal,-3.1903417110443115,5.096786022186279,-2.239772081375122,dorsal,dorsal,dorsal,dorsal,
33.0,33.0,33.0,INAT-26811973-1,bad,1.0586543083190918,0.4104817509651184,-1.6779054403305054,bad,bad,bad,bad,
34.0,34.0,34.0,INAT-13008109-1,lateral,-4.217886447906494,-0.7809070944786072,4.90839147567749,lateral,lateral,lateral,bad,
35.0,35.0,35.0,INAT-4233682-1,dorsal,-2.26968002319336,4.572227954864502,-2.462871551513672,dorsal,dorsal,dorsal,bad,
36.0,36.0,36.0,INAT-52633557-17,bad,4.977488040924072,-2.6652839183807373,-2.3188230991363525,bad,bad,bad,bad,
37.0,37.0,37.0,INAT-118691892-1,lateral,-5.3083367347717285,-6.688714027404785,11.807218551635742,lateral,lateral,lateral,lateral,
38.0,38.0,38.0,INAT-14732587-4,lateral,2.7523930072784424,-6.424751281738281,3.510115146636963,bad,bad,bad,bad,
39.0,39.0,39.0,INAT-8251575-3,lateral,1.8597843647003167,-5.331076145172119,3.3704986572265625,lateral,bad,bad,bad,
40.0,40.0,40.0,INAT-120062531-4,dorsal,-5.576684474945068,7.9023518562316895,-2.6672961711883545,dorsal,dorsal,dorsal,dorsal,
41.0,41.0,41.0,INAT-92713921-1,bad,10.482433319091797,-10.67465114593506,-0.0277047120034694,bad,bad,bad,bad,
42.0,42.0,42.0,INAT-7211180-10,dorsal,-6.800293922424316,7.098693370819092,-0.4092146754264831,dorsal,dorsal,dorsal,dorsal,
43.0,43.0,43.0,INAT-85997289-2,bad,5.992431640625,-7.860813617706299,2.2401106357574463,bad,bad,bad,bad,
44.0,44.0,44.0,INAT-85427710-1,dorsal,-10.372995376586914,10.98585605621338,-0.7395277619361877,dorsal,dorsal,dorsal,dorsal,
45.0,45.0,45.0,INAT-113989622-1,dorsal,0.6886914968490601,0.8081930875778198,-1.7058905363082886,bad,bad,bad,bad,
46.0,46.0,46.0,INAT-27719964-1,lateral,-2.268745422363281,-6.250751972198486,8.567148208618164,lateral,lateral,lateral,lateral,
47.0,47.0,47.0,INAT-26937371-11,bad,6.724003791809082,-9.401508331298828,2.4890565872192383,bad,bad,bad,bad,
48.0,48.0,48.0,INAT-7211180-4,bad,5.832612037658691,-4.1422119140625,-1.623486876487732,bad,bad,bad,bad,
49.0,49.0,49.0,INAT-126136972-1,bad,0.889680027961731,0.7369658350944519,-1.8649070262908936,bad,bad,bad,bad,
50.0,50.0,50.0,INAT-13878337-8,dorsal,-5.10209321975708,5.601723670959473,-0.8392412066459656,dorsal,dorsal,dorsal,bad,
51.0,51.0,51.0,INAT-88708181-6,lateral,-8.743379592895508,3.3930366039276123,5.490223407745361,lateral,bad,bad,bad,
52.0,52.0,52.0,INAT-30723443-4,dorsal,-12.537677764892578,7.405618667602539,5.2362060546875,dorsal,bad,bad,bad,
53.0,53.0,53.0,INAT-92499174-2,lateral,-1.8851685523986816,-2.290635108947754,3.848215818405152,lateral,lateral,lateral,bad,
54.0,54.0,54.0,INAT-65038338-3,lateral,-8.715893745422363,-6.071648120880127,14.734333992004396,lateral,lateral,lateral,lateral,
55.0,55.0,55.0,INAT-72943006-1,lateral,-0.599152147769928,-0.8863562345504761,1.456934928894043,lateral,bad,bad,bad,
56.0,56.0,56.0,INAT-23178982-2,bad,6.287417888641357,-6.478259086608887,0.3999029397964477,bad,bad,bad,bad,
57.0,57.0,57.0,INAT-82857289-3,lateral,2.389216423034668,-4.902562618255615,2.546194076538086,bad,bad,bad,bad,
