obs_id,usr_id,date,latitude,longitude,taxon,img_cnt,img_id,file_name,img_url,width,height,license,annotations,tags,download_time
105137117,5023219,2021-08-04,42.2368856875,-74.5321438123,Boyeria grafiana,1,176335896,10513711758.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/176335896/large.jpg,1152,2048,cc-by-nc,,,2022Jan19-10:28:58
104874424,5302668,2021-11-06,33.9948279722,-81.052289,Boyeria vinosa,2,175828247,104874424411.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/175828247/large.jpeg,1152,2048,cc-by-nc,,,2022Jan19-10:28:58
104831686,5266807,2019-07-22,42.8682337007,2.2152275239,Boyeria irene,2,175745548,104831686178.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/175745548/large.jpeg,1072,1600,cc-by-nc,,,2022Jan19-10:28:58
104828775,5266807,2017-07-22,43.3875181705,5.931110003,Boyeria irene,1,175740671,104828775249.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/175740671/large.jpeg,840,1000,cc-by-nc,,,2022Jan19-10:28:58
104773682,3027196,2022-01-01,-9.9863472222,-67.8072944444,Boyeria vinosa,2,175636603,104773682371.jpg,https://static.inaturalist.org/photos/175636603/large.jpeg,2048,1536,,,,2022Jan19-10:28:58
104660480,1226913,2021-07-29,44.249894139,4.3214760874,Boyeria irene,1,175418066,104660480743.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/175418066/large.jpeg,2048,1365,cc-by-nc,"Life Stage:Adult,Sex:Female",,2022Jan19-10:28:58
104638206,157093,2015-07-12,44.0299,3.7697,Boyeria irene,1,175377257,104638206437.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/175377257/large.jpg,1200,900,cc-by-nc,Life Stage:Adult,,2022Jan19-10:28:58
104456213,687658,2009-09-18,38.94686,-76.699162,Boyeria vinosa,1,175031111,104456213575.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/175031111/large.jpeg,1924,1924,cc-by-nc,,,2022Jan19-10:28:58
104178729,229502,2014-08-31,48.3870313782,2.8045668598,Boyeria irene,1,174540470,104178729266.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/174540470/large.jpeg,1200,802,cc-by-nc,,,2022Jan19-10:28:58
104178725,229502,2012-07-24,48.3870313782,2.8045668598,Boyeria irene,1,174540452,104178725538.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/174540452/large.jpeg,1200,802,cc-by-nc,,,2022Jan19-10:28:58
104178249,229502,2012-08-27,48.2895141537,2.7892140678,Boyeria irene,1,174539585,10417824926.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/174539585/large.jpeg,1200,802,cc-by-nc,,,2022Jan19-10:28:58
104178021,229502,2010-07-01,48.3702154537,2.8175259811,Boyeria irene,1,174539251,10417802199.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/174539251/large.jpeg,1200,802,cc-by-nc,,,2022Jan19-10:28:58
104094378,229502,2013-08-23,43.7241069,3.144343,Boyeria irene,1,174378057,104094378980.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/174378057/large.jpeg,1200,802,cc-by-nc,,,2022Jan19-10:28:58
103990305,475823,2021-12-30,43.5040033,-79.94746,Boyeria vinosa,2,174177324,103990305342.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/174177324/large.jpeg,2048,1536,cc-by-nc,,,2022Jan19-10:28:58
103970722,505532,2021-07-28,45.570823,-75.886553,Boyeria vinosa,1,174143368,103970722513.jpg,https://static.inaturalist.org/photos/174143368/large.jpg,1620,1080,,,Fawn Darner (Boyeria vinosa),2022Jan19-10:28:58
103945939,229502,2014-07-06,44.0850159821,3.9189212665,Boyeria irene,1,174103574,103945939351.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/174103574/large.jpeg,1200,802,cc-by-nc,Sex:Male,,2022Jan19-10:28:58
103945627,229502,2014-07-11,44.1132861085,3.9385151298,Boyeria irene,1,174103117,10394562781.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/174103117/large.jpeg,1200,802,cc-by-nc,,,2022Jan19-10:28:58
103704431,1562662,2021-08-03,46.4709846901,-70.0754099691,Boyeria vinosa,1,173628221,103704431985.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/173628221/large.jpeg,2048,1365,cc-by-nc,"Life Stage:Adult,Sex:Male,Alive or Dead:Alive",,2022Jan19-10:28:58
103632720,1562662,2021-08-06,46.4199021873,-70.0795342139,Boyeria vinosa,1,173494632,103632720628.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/173494632/large.jpeg,2048,1042,cc-by-nc,"Life Stage:Adult,Sex:Male,Alive or Dead:Alive",,2022Jan19-10:28:58
103632645,1562662,2021-08-06,46.4199021873,-70.0795342139,Boyeria grafiana,1,173494358,103632645676.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/173494358/large.jpeg,2048,1176,cc-by-nc,"Life Stage:Adult,Sex:Male,Alive or Dead:Alive",,2022Jan19-10:28:58
