obs_id,usr_id,date,latitude,longitude,taxon,img_cnt,img_id,file_name,img_url,width,height,license,annotations,tags,download_time
1158852,20518,2015-01-03,41.924891,12.815741,Cercis siliquastrum,2,1460992,R0E5ebn1uymvNNP0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1460992/large.jpg,900,505,cc-by-nc,,,2022Jan18-11:39:50
1156857,20518,2015-01-01,42.1949,11.887,Cercis siliquastrum,2,1458030,8LSDfho34qTBgdNn.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1458030/large.JPG,900,675,cc-by-nc,,,2022Jan18-11:39:50
1150151,56957,2014-12-28,-42.879304,172.75707,Cercis siliquastrum,1,1449022,fmC9KfLo9fykRn1s.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1449022/large.JPG,2048,1536,cc-by-nc,,,2022Jan18-11:39:50
1138851,22589,2013-03-07,32.794969,-97.409595,Cercis canadensis,3,1432823,G9Hc43cKbqMw164w.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1432823/large.JPG,2048,1536,cc-by,,,2022Jan18-11:39:50
1137466,22589,2012-03-02,32.746916,-97.27567,Cercis canadensis,2,1430652,76rDV9XbdjXYnS7s.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1430652/large.jpg,2048,1536,cc-by,,,2022Jan18-11:39:50
1131654,27441,2014-04-04,32.428584,-93.704292,Cercis canadensis,1,1422793,EwTBYle0EcpfqSJp.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1422793/large.jpg,1600,1065,cc-by-nc-nd,,"Cercis canadensis,duraznillo",2022Jan18-11:39:50
1114169,2991,2014-10-05,37.561044,-84.235783,Cercis canadensis,1,1400143,sJoTUuo2kg29xqAJ.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1400143/large.JPG,1600,1158,cc-by-nc-nd,,seed,2022Jan18-11:39:50
1104905,24060,2014-11-30,33.0846221667,-97.0696195,Cercis canadensis,1,1389113,ZufgSfSAssMIBhyj.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1389113/large.jpg,1136,1110,cc-by-nc,,,2022Jan18-11:39:50
1103892,24060,2014-11-30,33.0842528333,-97.071275,Cercis canadensis,2,1387937,YCnb3cHbVCOCUIny.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1387937/large.jpg,568,568,cc-by-nc,,,2022Jan18-11:39:50
1100293,35203,2014-11-27,40.76905,-73.973866,Cercis canadensis,2,1382883,RPQpFU8xTgdzyl1n.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1382883/large.JPG,2048,1365,cc-by-nc-nd,,,2022Jan18-11:39:50
1098018,9531,2014-11-23,29.823531,-99.57728,Cercis canadensis texensis,1,1379999,GesVAxSMB8zPIlct.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1379999/large.JPG,2048,1536,cc-by-nc,,,2022Jan18-11:39:50
1092547,16836,2014-11-21,23.952214,-99.764614,Cercis canadensis,1,1372927,xMgInCNNzYC03ta5.jpg,https://static.inaturalist.org/photos/1372927/large.jpg,1502,1127,,Plant Phenology:Flowering,,2022Jan18-11:39:50
1090611,55404,2014-09-14,34.372359,-88.82807,Cercis canadensis,2,1370799,A0gHcwr68yzEIJ7A.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1370799/large.jpg,576,1024,cc-by-nc,,star,2022Jan18-11:39:50
1090327,63664,2014-09-26,35.773611,-90.69754,Cercis canadensis,1,1370364,wtyVWX3rjEs6reY4.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1370364/large.JPG,576,1024,cc-by-nc,,star,2022Jan18-11:39:50
1089933,55234,2014-10-17,35.766706,-90.703843,Cercis canadensis,1,1370215,qnosHs8q9V3SCUhh.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1370215/large.jpg,1152,2048,cc-by-nc,,star,2022Jan18-11:39:50
1089059,55555,2014-09-20,,,Cercis canadensis,1,1370809,xnLaleLQqLEDboRU.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1370809/large.jpg,2048,1536,cc-by-nc,,MTSU,2022Jan18-11:39:50
1086985,52539,2014-09-13,35.935817,-90.639417,Cercis canadensis,1,1365382,chMEu4uHiFNJgy54.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1365382/large.JPG,2048,1536,cc-by-nc,,star,2022Jan18-11:39:50
1085720,50406,2014-10-04,36.6538716667,-90.841605,Cercis canadensis,3,1363992,tYuvihGTvyCDMDyB.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1363992/large.jpg,720,960,cc-by-nc,,star,2022Jan18-11:39:50
1084051,50428,2014-09-05,36.01329,-92.17927,Cercis canadensis,3,1367331,0gXj7b4Gk2YGwnqJ.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1367331/large.jpg,1536,2048,cc-by-nc,,STAR Lab,2022Jan18-11:39:50
1083868,55397,2014-09-26,35.258596,-91.698134,Cercis canadensis,4,1361543,7VHQeCxOs0x1zRgW.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1361543/large.JPG,1536,2048,cc-by-nc,,,2022Jan18-11:39:50
1083504,24060,2014-11-15,33.0628611667,-96.9796833333,Cercis canadensis,1,1360887,PT5ovG5gN76f4MqW.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1360887/large.jpg,1136,1136,cc-by-nc,,,2022Jan18-11:39:50
1083436,24060,2014-11-15,33.0639888333,-96.97988,Cercis canadensis,2,1360802,JlBLeLN9dTgmhac7.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1360802/large.jpg,1136,1136,cc-by-nc,,,2022Jan18-11:39:50
1083434,24060,2014-11-15,33.0638666667,-96.9796916667,Cercis canadensis,3,1360799,E4SFR9Ox98KxXCgZ.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1360799/large.jpg,1136,1136,cc-by-nc,,,2022Jan18-11:39:50
1082537,50465,2014-10-05,36.814327,-90.429171,Cercis canadensis,3,1359454,kfelsifFnzl5dGSk.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1359454/large.jpg,1536,2048,cc-by-nc,,star,2022Jan18-11:39:50
1080949,63950,2014-04-08,35.709164,-83.787508,Cercis canadensis,1,1357195,uD3nTWd602fHiW3W.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1357195/large.JPG,2048,1536,cc-by-nc,,,2022Jan18-11:39:50
1080710,51180,2014-09-24,35.770201,-90.697242,Cercis canadensis,5,1356907,Yk9VgL3F8EzZm9Jb.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1356907/large.jpg,405,720,cc-by-nc,,star,2022Jan18-11:39:50
1076324,38280,2014-11-15,38.056822,-121.364768,Cercis occidentalis,2,1349032,IK81jul707GkP6sU.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1349032/large.jpg,1536,2048,cc-by,,,2022Jan18-11:39:50
1069468,55553,2014-10-25,35.869605,-86.419231,Cercis canadensis,2,1340663,L8dGCthnaTOZy14p.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1340663/large.JPG,2048,1536,cc-by-nc,,MTSU,2022Jan18-11:39:50
1068523,55556,2014-10-09,35.850747,-86.407621,Cercis canadensis,1,1339460,LLJEDFmGzqQVtwmc.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1339460/large.JPG,640,480,cc-by-nc,,MTSU,2022Jan18-11:39:50
1067830,55551,2014-11-01,35.96484,-85.35099,Cercis canadensis,1,1338564,xDBgyhM0MChtDpY0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1338564/large.JPG,1365,2048,cc-by-nc,,MTSU,2022Jan18-11:39:50
1067205,55552,2014-10-04,36.081557,-86.916985,Cercis canadensis,1,1358884,jPQgehPE7rEVjTrk.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1358884/large.png,1518,2048,cc-by-nc,,MTSU,2022Jan18-11:39:50
1067179,55550,2014-10-18,35.8,-87.8,Cercis canadensis,1,1337747,EumtL7cBf599geQM.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1337747/large.JPG,1331,1744,cc-by-nc,,MTSU,2022Jan18-11:39:50
1065482,62965,2014-09-17,35.845417,-86.357533,Cercis canadensis,1,1360325,Zyfv9I5aKdZ6OVDF.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1360325/large.jpg,2048,1152,cc-by-nc,,MTSU,2022Jan18-11:39:50
1060670,50407,2014-10-01,35.746,-90.357,Cercis canadensis,3,1329217,emr6WpcShL8HGlk5.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1329217/large.jpg,960,720,cc-by-nc,,star,2022Jan18-11:39:50
1058243,50504,2014-09-04,35.4969493912,-86.4902600018,Cercis canadensis,1,1327061,GcaRU6SeqeJrAXSP.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1327061/large.jpg,2048,1152,cc-by-nc,,MTSU,2022Jan18-11:39:50
1055677,22294,2014-11-02,32.638995,-96.958753,Cercis canadensis,7,1323954,WOs6rgEVXzjMXo58.jpg,https://static.inaturalist.org/photos/1323954/large.JPG,2048,1536,,,,2022Jan18-11:39:50
1054766,55467,2014-10-15,35.991126,-86.684958,Cercis canadensis,1,1322852,t5uIc1eYp6zlNwBv.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1322852/large.JPG,2048,1536,cc-by-nc,,MTSU,2022Jan18-11:39:50
1054658,55557,2014-09-07,35.770398,-86.412349,Cercis canadensis,2,1322734,zEiaHcPeeqQvkonP.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1322734/large.jpg,720,960,cc-by-nc,,"Cercis canadensis,MTSU",2022Jan18-11:39:50
1047099,30829,2014-10-23,32.783854,-97.45378,Cercis canadensis,2,1314048,3I7JSogNERRC0IEl.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1314048/large.JPG,2048,1536,cc-by-nc,,,2022Jan18-11:39:50
1046349,35203,2014-10-27,39.531688,-76.360924,Cercis canadensis,2,1313132,8OQBCwElGLGemnD4.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1313132/large.jpg,2048,1536,cc-by-nc-nd,,,2022Jan18-11:39:50
1044059,10285,2014-05-19,40.614589,-122.52099,Cercis occidentalis,1,1309762,0loKi2Pzlu0FMRW6.jpg,https://static.inaturalist.org/photos/1309762/large.jpg,2048,1365,,,animal,2022Jan18-11:39:50
20149590,383144,2014-09-19,-33.43085,-70.63447,Cercis siliquastrum,2,31079814,yupy7LT6u34KMVko.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/31079814/large.jpg,2048,1509,cc-by-sa,,"gardens and parks,Plants",2022Jan18-11:39:50
1040793,61320,2014-10-27,31.89070164,-97.69920473,Cercis canadensis texensis,1,1305637,PwLswTv3HCMvfncj.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1305637/large.jpg,1152,2048,cc-by-nc,,,2022Jan18-11:39:50
1031853,35203,2014-10-23,41.771024,-87.866026,Cercis canadensis,1,1294528,Op0JYEbUqUW73ACq.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1294528/large.JPG,2048,1365,cc-by-nc-nd,,,2022Jan18-11:39:50
1030507,20518,2014-10-22,36.757463,-4.425591,Cercis siliquastrum,4,1292719,PxzOQLDm7HEizdQx.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1292719/large.JPG,678,900,cc-by-nc,,,2022Jan18-11:39:50
1029091,49251,2014-10-21,37.949475,-122.5379633333,Cercis,3,1290613,MxlpAh2c1hvGvVlg.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1290613/large.jpg,568,426,cc-by-nc,,,2022Jan18-11:39:50
1028284,17201,2014-10-19,30.36917908,-91.10471903,Cercis canadensis,1,1289560,7AJU2UX2KFRs4lyU.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1289560/large.jpg,1536,2048,cc-by-nc,,,2022Jan18-11:39:50
1024641,18343,2014-10-18,37.532491,-122.072633,Cercis occidentalis,1,1284544,fWh03XyhuswUVgSe.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1284544/large.jpg,568,426,cc-by-nc,,,2022Jan18-11:39:50
1022889,13075,2014-10-12,41.8853639,12.4867903,Cercis siliquastrum,1,1282075,wqnXI0Kfeuy63wkp.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1282075/large.jpg,720,1280,cc-by-nc,,,2022Jan18-11:39:50
1034073,1115,2014-10-16,-43.574713,172.625075,Cercis siliquastrum,2,1296032,v4KEbuwGrYfzYqHP.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1296032/large.jpg,2048,1536,cc-by,Plant Phenology:Flowering,"garden,cultivated,flower colour pink,Flowering",2022Jan18-11:39:50
1020884,27743,2014-10-10,38.829278,-77.040596,Cercis canadensis,1,1269172,xl6Db8KVzmbeVlFP.jpg,https://static.inaturalist.org/photos/1269172/large.jpg,2048,1534,,,,2022Jan18-11:39:50
1020056,50289,2014-10-05,40.870448,-81.35543,Cercis canadensis,5,1256664,EQuUtQCByS5IX3zW.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1256664/large.jpg,717,960,cc-by-nc,,,2022Jan18-11:39:50
1018928,477,2014-10-13,30.2382416667,-97.8091283333,Cercis canadensis,2,1219937,wKtdQbpCpAZGKdsS.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1219937/large.jpg,2048,1365,cc0,,,2022Jan18-11:39:50
920366,18446,2014-10-12,32.838545,-93.915929,Cercis canadensis,1,1176015,08EV53j04DgYBfso.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1176015/large.jpg,1280,960,cc-by-nc-sa,,,2022Jan18-11:39:50
917130,51338,2014-08-29,38.8995966667,-77.0485916667,Cercis canadensis,1,1171214,2blOiVN7SYxACbuh.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1171214/large.jpg,852,1136,cc-by-nc,,,2022Jan18-11:39:50
916910,50296,2014-10-06,41.155147,-81.461832,Cercis canadensis,3,1170759,nngmbZSnB6QztL70.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1170759/large.JPG,2048,1536,cc-by-nc,,,2022Jan18-11:39:50
916536,50252,2014-10-05,34.66645,-93.2297,Cercis canadensis,3,1169884,9qkdLKqHtAVjQ7Tb.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1169884/large.JPG,2048,1536,cc-by-nc,,star,2022Jan18-11:39:50
916432,50333,2014-09-14,41.128672,-81.542517,Cercis canadensis,4,1169729,QGS73egNjuRgnQIL.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1169729/large.JPG,2048,1536,cc-by-nc,,,2022Jan18-11:39:50
916355,50213,2014-10-09,41.168567,-81.525931,Cercis canadensis,4,1169544,WeLeaFyGTLuYE1se.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1169544/large.jpg,960,720,cc-by-nc,,,2022Jan18-11:39:50
