obs_id,usr_id,date,latitude,longitude,taxon,img_cnt,img_id,file_name,img_url,width,height,license,annotations,tags,download_time
1167332,65504,2014-06-13,45.281666,-91.1099,Cordulia shurtleffii,1,1472020,1167332955.jpg,https://static.inaturalist.org/photos/1472020/large.jpg,2048,1536,cc-by-nc,,,2022Jan19-10:29:51
1077735,24521,2011-05-01,43.1324,-124.39579,Cordulia shurtleffii,1,1351016,1077735926.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1351016/large.jpg,500,600,cc-by-nc-nd,"Life Stage:Adult,Sex:Female",,2022Jan19-10:29:51
1077730,24521,2010-07-16,44.832677,-121.99017,Cordulia shurtleffii,1,1351010,1077730928.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1351010/large.jpg,500,651,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan19-10:29:51
1077723,24521,2009-08-04,44.962377,-118.230521,Cordulia shurtleffii,1,1351000,1077723420.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1351000/large.jpg,600,483,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan19-10:29:51
1077713,24521,2009-07-18,44.832677,-121.99017,Cordulia shurtleffii,1,1350989,1077713739.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1350989/large.jpg,600,547,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan19-10:29:51
1077710,24521,2009-07-17,43.633994,-122.0427,Cordulia shurtleffii,1,1350981,107771093.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1350981/large.jpg,600,514,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan19-10:29:51
1077706,24521,2009-07-11,43.483871,-121.905369,Cordulia shurtleffii,1,1350970,1077706977.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1350970/large.jpg,600,507,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan19-10:29:51
1077699,24521,2008-09-07,44.213926,-121.88932,Cordulia shurtleffii,1,1350959,1077699660.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1350959/large.jpg,500,600,cc-by-nc-nd,"Life Stage:Adult,Sex:Female",,2022Jan19-10:29:51
1077691,24521,2008-09-05,44.249104,-121.836527,Cordulia shurtleffii,1,1350933,1077691750.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1350933/large.jpg,600,575,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan19-10:29:51
1077686,24521,2008-07-20,44.832677,-121.99017,Cordulia shurtleffii,1,1350929,1077686239.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1350929/large.jpg,600,567,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan19-10:29:51
