obs_id,usr_id,date,latitude,longitude,taxon,img_cnt,img_id,file_name,img_url,width,height,license,annotations,tags,download_time
1167857,50445,2013-02-03,-34.384175,-58.573351,Erythemis attala,1,1472886,78GKZMUkijyT28Hj.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1472886/large.jpg,2048,1290,cc-by-nc,"Life Stage:Adult,Sex:Female",,2022Jan18-13:59:39
1167849,50445,2014-03-18,-34.492224,-58.480729,Erythemis attala,1,1472882,p4YsnsZ5iF7fEuLn.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1472882/large.jpg,2048,1342,cc-by-nc,"Life Stage:Adult,Sex:Male",,2022Jan18-13:59:39
1167845,50445,2009-02-07,-33.597713,-59.809259,Erythemis attala,1,1472877,zBbE0geC7EsWdffi.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1472877/large.JPG,2048,1631,cc-by-nc,"Life Stage:Adult,Sex:Male",,2022Jan18-13:59:39
1165875,43807,2014-08-23,39.622703,-76.15898,Erythemis simplicicollis,1,1470006,koLLYndHHgnxp2Xl.jpg,https://static.inaturalist.org/photos/1470006/large.jpg,920,920,cc-by,"Life Stage:Adult,Sex:Male",,2022Jan18-13:59:39
1157533,65504,2014-07-18,46.566067,-95.967947,Erythemis simplicicollis,1,1458989,uUs3jEezdG55Qz2U.jpg,https://static.inaturalist.org/photos/1458989/large.jpg,2025,1215,cc-by-nc,"Life Stage:Adult,Sex:Female",,2022Jan18-13:59:39
1156413,21217,2012-10-09,30.212948,-97.495551,Erythemis simplicicollis,1,1457483,g2uihlK5PeVYTDNc.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1457483/large.JPG,2048,1534,cc-by-nc,,,2022Jan18-13:59:39
1154043,27237,2014-12-30,23.39344,-110.212711,Erythemis plebeja,1,1454743,FbZkvjdbtPXqtGga.jpg,https://static.inaturalist.org/photos/1454743/large.jpg,2048,1365,,"Life Stage:Adult,Sex:Male",,2022Jan18-13:59:39
1148657,40730,2010-01-04,18.279902,-93.205207,Erythemis vesiculosa,3,1446645,kzy4wkVjFNxXOxsp.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1446645/large.jpg,1280,853,cc-by-nc,"Life Stage:Adult,Sex:Male","verde,café,Comalcalco,Libélula",2022Jan18-13:59:39
1142088,65504,2012-06-12,26.291626,-98.134562,Erythemis plebeja,1,1436854,43KWC5ELESyoZ2b8.jpg,https://static.inaturalist.org/photos/1436854/large.jpg,1295,776,cc-by-nc,,,2022Jan18-13:59:39
1142076,65504,2012-06-12,26.291626,-98.134562,Erythemis vesiculosa,1,1436842,kU1tgRyhhm7rSjyu.jpg,https://static.inaturalist.org/photos/1436842/large.jpg,1426,1068,cc-by-nc,,,2022Jan18-13:59:39
1141744,9434,2014-10-26,28.049023,-97.041735,Erythemis simplicicollis,1,1436401,J7HFlTZJF4zouJtt.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1436401/large.JPG,512,374,cc-by-nc,,,2022Jan18-13:59:39
1140770,46555,2014-12-20,20.488224,-105.448467,Erythemis attala,1,1435178,tnBhSroByrjwpAou.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1435178/large.jpg,1280,960,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan18-13:59:39
1140762,46555,2014-12-20,20.488224,-105.448467,Erythemis attala,4,1435141,h5HjbX2uMaYd32du.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1435141/large.jpg,1280,960,cc-by-nc-nd,Life Stage:Adult,,2022Jan18-13:59:39
1140759,46555,2014-12-20,20.488224,-105.448467,Erythemis attala,1,1435135,Fmjf9c7iXTjSzCLN.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1435135/large.jpg,1280,960,cc-by-nc-nd,"Life Stage:Adult,Sex:Female",,2022Jan18-13:59:39
1140747,46555,2014-12-20,20.488224,-105.448467,Erythemis attala,5,1435098,VElXeVfFNxmyLwtu.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1435098/large.jpg,1280,960,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan18-13:59:39
1131637,46555,2014-12-14,20.488224,-105.448467,Erythemis attala,1,1422759,RwHG0Yc4Fe5Fobo9.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1422759/large.jpg,1203,900,cc-by-nc-nd,"Life Stage:Adult,Sex:Male","Jalisco,Yelapa,mexico",2022Jan18-13:59:39
1127089,46555,2014-12-09,20.488224,-105.448467,Erythemis attala,1,1416802,5NMKfyfJkHXE9oki.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1416802/large.jpg,1200,900,cc-by-nc-nd,,"mexico,Jalisco,Yelapa",2022Jan18-13:59:39
1127088,46555,2014-12-09,20.488224,-105.448467,Erythemis attala,1,1416801,PbODVkfEJjAR5MwX.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1416801/large.jpg,1200,900,cc-by-nc-nd,"Life Stage:Adult,Sex:Male","Jalisco,Yelapa,mexico",2022Jan18-13:59:39
1127058,28,2014-08-22,,,Erythemis collocata,1,1416763,6gfzbeLi3ocPuNqa.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1416763/large.jpg,670,573,cc-by-nc,,,2022Jan18-13:59:39
1126163,21626,2014-12-10,23.299,-106.44343,Erythemis plebeja,1,1415652,9KkuJaJjgH3GRF9q.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1415652/large.JPG,2048,1536,cc-by,,,2022Jan18-13:59:39
1117188,21217,2014-07-18,30.686874,-97.644436,Erythemis simplicicollis,1,1403919,inJv4M2QgABA5y3f.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1403919/large.JPG,2048,1536,cc-by-nc,,,2022Jan18-13:59:39
1115667,5245,2014-12-02,-17.767042,-63.069599,Erythemis plebeja,1,1401926,pr3kkUdriZ3y7xb6.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1401926/large.JPG,1060,700,cc-by-nd,,,2022Jan18-13:59:39
1114184,24973,2012-09-03,30.213129,-97.646667,Erythemis simplicicollis,1,1400170,Gb1hYW8fiJz5GJTZ.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1400170/large.JPG,2048,1535,cc-by,,,2022Jan18-13:59:39
1113905,65504,2014-10-21,33.275188,-111.990432,Erythemis collocata,1,1399523,CKH9MLQ86kymWHhR.jpg,https://static.inaturalist.org/photos/1399523/large.jpg,1791,1342,cc-by-nc,,,2022Jan18-13:59:39
1104436,46555,2014-11-29,20.488224,-105.448467,Erythemis attala,3,1388544,fKL2DTeMb4mgDu6k.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1388544/large.jpg,1200,900,cc-by-nc-nd,"Life Stage:Adult,Sex:Male","Jalisco,Yelapa,mexico",2022Jan18-13:59:39
1100384,24521,2007-07-09,45.662374,-121.906486,Erythemis collocata,1,1383048,ZakTmm9MOfK296iH.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1383048/large.jpg,1000,674,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan18-13:59:39
1095161,46555,2014-11-24,20.488224,-105.448467,Erythemis attala,4,1376337,J3EyR0zo950fK2d8.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1376337/large.jpg,1200,900,cc-by-nc-nd,"Life Stage:Adult,Sex:Male","Jalisco,Yelapa,mexico",2022Jan18-13:59:39
1089769,28775,2014-10-10,33.060656,-96.960086,Erythemis simplicicollis,1,1369028,ku5elr5rpVjHjJrR.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1369028/large.JPG,2048,1536,cc-by,,,2022Jan18-13:59:39
1089750,24521,2010-02-21,-1.25389,-79.37028,Erythemis vesiculosa,1,1369007,5VKxYvjIQGUaTEjO.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1369007/large.jpg,700,502,cc-by-nc-nd,"Life Stage:Adult,Sex:Female",,2022Jan18-13:59:39
1089743,24521,2008-04-12,-2.44556,-79.55556,Erythemis vesiculosa,1,1369000,zLFUEibaPa4ieAfn.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1369000/large.jpg,700,522,cc-by-nc-nd,"Life Stage:Adult,Sex:Female",,2022Jan18-13:59:39
1089738,24521,2008-04-10,-3.47492,-79.97778,Erythemis vesiculosa,1,1368995,hArmmkj2BTn5QA4W.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1368995/large.jpg,700,520,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan18-13:59:39
1089671,49134,2014-07-20,33.060247,-96.962462,Erythemis simplicicollis,2,1368914,iUYK066Ciw5obKKh.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1368914/large.JPG,1600,1200,cc-by-nc,,,2022Jan18-13:59:39
1088796,24521,2012-09-08,45.915739,-119.171104,Erythemis collocata,1,1367662,30DoINU283PKfyjq.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1367662/large.jpg,600,549,cc-by-nc-nd,"Life Stage:Adult,Sex:Female",,2022Jan18-13:59:39
1088794,24521,2012-08-24,45.634542,-122.600899,Erythemis collocata,1,1367660,8htZryOxEFUdKGsd.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1367660/large.jpg,700,510,cc-by-nc-nd,"Life Stage:Adult,Sex:Female",,2022Jan18-13:59:39
1088790,24521,2011-08-07,42.681306,-123.331865,Erythemis collocata,1,1367657,taBBSG0wOJ3yFgEC.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1367657/large.jpg,700,567,cc-by-nc-nd,"Life Stage:Adult,Sex:Female",,2022Jan18-13:59:39
1088786,24521,2010-08-22,42.418511,-122.804918,Erythemis collocata,1,1367653,yJEu7aUX0f1qIgLp.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1367653/large.jpg,700,525,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan18-13:59:39
1088782,24521,2009-08-23,42.418511,-122.804918,Erythemis collocata,1,1367648,LwyNnLtDscljuxuk.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1367648/large.jpg,600,551,cc-by-nc-nd,"Life Stage:Adult,Sex:Female",,2022Jan18-13:59:39
1088776,24521,2008-08-04,44.0533,-123.15806,Erythemis collocata,1,1367642,tPnTgVAfCjRxzYJB.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1367642/large.jpg,600,568,cc-by-nc-nd,"Life Stage:Adult,Sex:Female",,2022Jan18-13:59:39
1088773,24521,2008-06-14,46.307561,-120.33823,Erythemis collocata,1,1367637,nGG1YYMS4fIP12H4.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1367637/large.jpg,600,551,cc-by-nc-nd,"Life Stage:Adult,Sex:Female",,2022Jan18-13:59:39
1088767,24521,2007-07-09,45.662374,-121.906486,Erythemis collocata,1,1367632,OXsLaJMnaIhFHssA.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1367632/large.jpg,600,513,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan18-13:59:39
1088722,12049,2014-10-30,25.382684,-80.607177,Erythemis simplicicollis,1,1367580,cAfqjBXNtEptnRuk.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1367580/large.JPG,2048,1365,cc-by,,,2022Jan18-13:59:39
1088247,35203,2014-07-18,41.71573,-87.892685,Erythemis simplicicollis,1,1366979,KM81PZxlnycOwcBt.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1366979/large.jpg,2048,1360,cc-by-nc-nd,,,2022Jan18-13:59:39
1080810,59817,2014-09-21,41.004017,-81.976964,Erythemis simplicicollis,1,1357036,QBGakpkMD5JLKkJK.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1357036/large.jpg,960,638,cc-by-nc,,,2022Jan18-13:59:39
1080391,12512,2014-07-16,35.81168,-78.71393,Erythemis simplicicollis,1,1356437,4CopVvxVRisfRoTN.jpg,https://static.inaturalist.org/photos/1356437/large.JPG,2048,1536,,,,2022Jan18-13:59:39
1080383,12512,2014-06-24,35.81168,-78.71393,Erythemis simplicicollis,1,1356428,uQuHtjR2pPeK2EnW.jpg,https://static.inaturalist.org/photos/1356428/large.JPG,2048,1536,,,,2022Jan18-13:59:39
1080396,12512,2014-08-30,35.81168,-78.71393,Erythemis simplicicollis,1,1356442,t6OPXT8cbVXsE0B8.jpg,https://static.inaturalist.org/photos/1356442/large.JPG,2048,1536,,,,2022Jan18-13:59:39
1080382,12512,2014-06-24,35.81168,-78.71393,Erythemis simplicicollis,1,1356429,HDD7yOg7J1ZNnx4B.jpg,https://static.inaturalist.org/photos/1356429/large.JPG,2048,1536,,,,2022Jan18-13:59:39
1079358,27237,2014-11-13,24.993215,-110.871019,Erythemis collocata,1,1355073,ToYeC6iqZEKeXBOQ.jpg,https://static.inaturalist.org/photos/1355073/large.jpg,2048,1365,,"Life Stage:Adult,Sex:Male",,2022Jan18-13:59:39
1079360,27237,2014-11-13,24.937503,-110.994186,Erythemis collocata,1,1355075,o2424U9TCfHRXX2V.jpg,https://static.inaturalist.org/photos/1355075/large.jpg,2048,1365,,"Life Stage:Adult,Sex:Male",,2022Jan18-13:59:39
1075524,59817,2014-07-27,41.114291,-81.737489,Erythemis simplicicollis,1,1348203,43QFkXrOEzw3kVR4.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1348203/large.jpg,720,478,cc-by-nc,,,2022Jan18-13:59:39
1070687,18446,2014-11-12,32.794402,-80.196927,Erythemis simplicicollis,1,1342071,igBCnR3LsEz7Zhnt.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1342071/large.JPG,2048,1540,cc-by-nc-sa,,,2022Jan18-13:59:39
1070517,18552,2014-11-09,26.072972,-98.149946,Erythemis plebeja,2,1341819,TVT70tt2Fc1In6Qt.jpg,https://static.inaturalist.org/photos/1341819/large.jpg,1200,781,,,,2022Jan18-13:59:39
1069511,42817,2014-11-10,30.217024,-97.652051,Erythemis simplicicollis,1,1340739,FSWz5TuTsn6Ybz8b.jpg,https://static.inaturalist.org/photos/1340739/large.jpg,1500,1000,,,,2022Jan18-13:59:39
1069329,18552,2014-11-09,26.072972,-98.149946,Erythemis simplicicollis,1,1340508,aTVQZJjgvXjRxNTT.jpg,https://static.inaturalist.org/photos/1340508/large.jpg,1129,900,,,,2022Jan18-13:59:39
1069059,26669,2012-05-15,39.052849,-76.791356,Erythemis simplicicollis,1,1340131,ub3BWNwWCYcY72Uh.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1340131/large.JPG,1536,2048,cc-by-nc,,,2022Jan18-13:59:39
1067000,22589,2014-11-08,32.794342,-97.414319,Erythemis simplicicollis,2,1337519,TyvHD8u9CY2846HK.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1337519/large.JPG,1600,1200,cc-by,,,2022Jan18-13:59:39
1065152,27237,2014-11-05,23.486707,-109.718935,Erythemis collocata,1,1335338,0cI82n5m2VWBZRWR.jpg,https://static.inaturalist.org/photos/1335338/large.jpg,2048,1361,,"Life Stage:Adult,Sex:Female",,2022Jan18-13:59:39
1063696,12049,2014-11-01,24.950702,-80.594874,Erythemis vesiculosa,1,1333463,9kI5R567yQNHdOkh.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1333463/large.JPG,2048,1365,cc-by,"Life Stage:Adult,Sex:Male",,2022Jan18-13:59:39
