obs_id,usr_id,date,latitude,longitude,taxon,img_cnt,img_id,file_name,img_url,width,height,license,annotations,tags,download_time
1167336,65504,2014-06-13,45.461003,-91.109492,Leucorrhinia proxima,2,1472024,3B2YArUed9IRAiC4.jpg,https://static.inaturalist.org/photos/1472024/large.jpg,1607,1203,cc-by-nc,,,2022Jan18-13:54:13
1163481,20198,2014-06-09,44.421258,-72.906843,Leucorrhinia proxima,1,1466419,1xvzKxqZwBe9tkuA.jpg,https://static.inaturalist.org/photos/1466419/large.jpg,2048,1365,,,,2022Jan18-13:54:13
1162830,65504,2014-07-13,45.467222,-93.63851,Leucorrhinia frigida,1,1465510,XWpAvC2CXBsY2ZnD.jpg,https://static.inaturalist.org/photos/1465510/large.jpg,1228,1228,cc-by-nc,,,2022Jan18-13:54:13
1157534,65504,2014-07-18,46.500245,-95.92991,Leucorrhinia intacta,1,1458990,1EVJhqe2nL0Zlco8.jpg,https://static.inaturalist.org/photos/1458990/large.jpg,2048,1535,cc-by-nc,,,2022Jan18-13:54:13
1157527,65504,2014-07-18,46.520809,-95.926351,Leucorrhinia proxima,1,1458981,fEQ4IeqhtKZHADip.jpg,https://static.inaturalist.org/photos/1458981/large.jpg,1203,1203,cc-by-nc,,,2022Jan18-13:54:13
1157118,65504,2014-07-31,48.724634,-95.141428,Leucorrhinia,1,1458351,646PkvqBgC7AoCo2.jpg,https://static.inaturalist.org/photos/1458351/large.jpg,1316,1316,cc-by-nc,,,2022Jan18-13:54:13
1156589,65504,2014-08-02,48.566457,-94.917389,Leucorrhinia proxima,1,1457757,5uSECs9Mf2Bzphto.jpg,https://static.inaturalist.org/photos/1457757/large.jpg,1434,1077,cc-by-nc,,,2022Jan18-13:54:13
1097270,24521,2009-07-02,44.549134,-118.911644,Leucorrhinia proxima,1,1378969,D7dOVbw8cEF01CiI.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1378969/large.jpg,700,522,cc-by-nc-nd,"Life Stage:Adult,Sex:Male,Alive or Dead:Alive",,2022Jan18-13:54:13
1097260,24521,2006-07-22,48.655987,-117.485071,Leucorrhinia proxima,1,1378958,q2CApG0SePMc0aPA.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1378958/large.jpg,700,510,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan18-13:54:13
1097246,24521,2010-08-14,43.718836,-121.232607,Leucorrhinia intacta,1,1378943,QajdsKdyQiCZ9nx9.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1378943/large.jpg,700,546,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan18-13:54:13
1097242,24521,2009-08-03,45.623537,-117.26437,Leucorrhinia intacta,1,1378938,w5m0yny5t4SHRBxJ.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1378938/large.jpg,700,525,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan18-13:54:13
1097234,24521,2009-07-02,44.549134,-118.911644,Leucorrhinia intacta,1,1378930,Kurj7GO7RsLcbh7A.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1378930/large.jpg,700,525,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan18-13:54:13
1097225,24521,2007-07-09,45.662374,-121.906486,Leucorrhinia intacta,1,1378921,I2ZcIH7e9PR9Fa8A.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1378921/large.jpg,700,467,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan18-13:54:13
1097220,24521,2006-07-08,42.289057,-122.353116,Leucorrhinia intacta,1,1378915,sioa4xdTcDRakYfz.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1378915/large.jpg,700,493,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan18-13:54:13
1096807,24521,2011-08-05,42.376499,-122.202961,Leucorrhinia hudsonica,1,1378512,d6DOUlajx36uWCl4.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1378512/large.jpg,700,518,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan18-13:54:13
1096798,24521,2010-08-14,43.718836,-121.232607,Leucorrhinia hudsonica,1,1378499,1Xqrk4Yh3U73okE9.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1378499/large.jpg,700,555,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan18-13:54:13
1096789,24521,2009-08-04,44.962377,-118.230521,Leucorrhinia hudsonica,1,1378489,AipOH0YD2DmDtJo1.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1378489/large.jpg,700,559,cc-by-nc-nd,"Life Stage:Adult,Sex:Female",,2022Jan18-13:54:13
1096782,24521,2009-07-17,43.633994,-122.0427,Leucorrhinia hudsonica,1,1378480,8I2egVxrv09tORvF.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1378480/large.jpg,700,514,cc-by-nc-nd,"Life Stage:Adult,Sex:Female",,2022Jan18-13:54:13
1096771,24521,2009-07-11,43.483871,-121.905369,Leucorrhinia hudsonica,1,1378468,KZOpfzOgOVEptWDX.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1378468/large.jpg,600,535,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan18-13:54:13
1096762,24521,2008-09-05,44.249104,-121.836527,Leucorrhinia hudsonica,1,1378456,6acff5mQY9Bu4ZCI.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1378456/large.jpg,700,564,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan18-13:54:13
1096754,24521,2008-08-22,48.690991,-117.182929,Leucorrhinia hudsonica,1,1378448,sfWhkER1yJDLcEBt.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1378448/large.jpg,600,541,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan18-13:54:13
1096749,24521,2008-07-20,44.832677,-121.99017,Leucorrhinia hudsonica,1,1378441,ktHeC2hhzITaVCPP.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1378441/large.jpg,700,533,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan18-13:54:13
1096741,24521,2008-07-12,44.01622,-121.744199,Leucorrhinia hudsonica,1,1378433,R2w5jM7QlfaItmjQ.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1378433/large.jpg,600,519,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan18-13:54:13
1096738,24521,2008-07-03,45.139278,-121.562747,Leucorrhinia hudsonica,1,1378430,oJziUevgEyfAD1r7.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1378430/large.jpg,700,534,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan18-13:54:13
1096734,24521,2006-07-21,48.690991,-117.182929,Leucorrhinia hudsonica,1,1378419,vHsxQy0Ad631BsFb.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/1378419/large.jpg,700,610,cc-by-nc-nd,"Life Stage:Adult,Sex:Male",,2022Jan18-13:54:13
