obs_id,usr_id,date,latitude,longitude,taxon,img_cnt,img_id,file_name,img_url,width,height,license,annotations,tags,download_time
105218751,2738825,2017-10-01,53.0903640485,18.2275615184,Stylurus flavipes,1,176491809,105218751_132.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/176491809/large.jpeg,2048,1536,cc-by-nc,,,2022Jan20-16:28:22
104977599,4294883,2021-07-04,45.4271398775,-75.7832233608,Stylurus scudderi,2,176026760,104977599_574.jpg,https://static.inaturalist.org/photos/176026760/large.jpeg,2048,1693,,,,2022Jan20-16:28:22
104899665,3396573,2008-06-12,26.1763943049,-98.3655113356,Stylurus plagiatus,1,175877589,104899665_262.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/175877589/large.jpeg,2048,1536,cc-by-nc,"Life Stage:Adult,Sex:Female,Alive or Dead:Alive",,2022Jan20-16:28:22
104382471,586546,2021-11-27,28.7151505079,-81.4478414577,Stylurus plagiatus,2,174890677,104382471_600.jpg,https://static.inaturalist.org/photos/174890677/large.jpeg,399,256,,,,2022Jan20-16:28:22
104055964,1361238,2021-08-08,45.450362,-75.7696983,Stylurus scudderi,1,174305627,104055964_693.jpg,https://static.inaturalist.org/photos/174305627/large.jpg,2048,1365,,,"odonata,anisoptera,gomphidae",2022Jan20-16:28:22
103970713,505532,2021-07-28,45.570843,-75.88691,Stylurus scudderi,1,174143363,103970713_185.jpg,https://static.inaturalist.org/photos/174143363/large.jpg,1620,1080,,Sex:Female,Zebra Clubtail (Stylurus scudderi) - female,2022Jan20-16:28:22
103970704,505532,2021-07-28,45.570825,-75.88611,Stylurus scudderi,1,174143359,103970704_308.jpg,https://static.inaturalist.org/photos/174143359/large.jpg,1620,1080,,Sex:Male,Zebra Clubtail (Stylurus scudderi) - male,2022Jan20-16:28:22
103970693,505532,2021-07-28,45.564283,-75.879744,Stylurus scudderi,1,174143356,103970693_583.jpg,https://static.inaturalist.org/photos/174143356/large.jpg,1620,1080,,Sex:Male,Zebra Clubtail (Stylurus scudderi) - male,2022Jan20-16:28:22
103955005,830550,2009-07-01,58.5528506474,50.1195784658,Stylurus flavipes,2,174114132,103955005_995.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/174114132/large.jpg,2048,1536,cc-by-nc,,Stylurus flavipes,2022Jan20-16:28:22
103501769,1954345,2021-07-21,42.025555165,-73.8585806359,Stylurus plagiatus,4,173240852,103501769_167.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/173240852/large.jpg,2048,1536,cc-by,"Life Stage:Adult,Alive or Dead:Alive",,2022Jan20-16:28:22
