file,has_segment
INATRANDOM-11805304,1
INATRANDOM-13876951,1
INATRANDOM-15138951,1
INATRANDOM-18953301,1
INATRANDOM-20192065,1
INATRANDOM-28518328,1
INATRANDOM-29440930,1
INATRANDOM-3463672,1
INATRANDOM-35643126,1
INATRANDOM-35739986,1
INATRANDOM-42084680,1
INATRANDOM-49121632,1
INATRANDOM-49421864,1
INATRANDOM-53126727,1
INATRANDOM-53552400,1
INATRANDOM-5440722,1
INATRANDOM-5576669,1
INATRANDOM-59636869,1
INATRANDOM-61515501,1
INATRANDOM-64802707,1
INATRANDOM-6682596,1
INATRANDOM-78624678,1
INATRANDOM-78758800,1
INATRANDOM-83390864,1
INATRANDOM-86498620,1
INATRANDOM-89408155,1
INATRANDOM-90707228,1
INATRANDOM-90837080,1
INATRANDOM-115820103,1
INATRANDOM-1738422,1
INATRANDOM-110322341,1
INATRANDOM-1637768,1
INATRANDOM-36094565,1
INATRANDOM-98745130,1
INATRANDOM-91344157,1
INATRANDOM-58800864,1
INATRANDOM-89428513,1
INATRANDOM-51324309,1
INATRANDOM-25711605,1
INATRANDOM-50724075,1
INATRANDOM-28343884,1
INATRANDOM-77656050,1
INATRANDOM-49071644,1
INATRANDOM-3890044,1
INATRANDOM-29427491,1
INATRANDOM-50518821,1
INATRANDOM-26950274,1
INATRANDOM-92975696,1
INATRANDOM-60219007,1
INATRANDOM-16062195,1
INATRANDOM-52407126,1
INATRANDOM-58733900,1
INATRANDOM-9229367,1
INATRANDOM-30203058,1
INATRANDOM-47580331,1
INATRANDOM-24064580,1
INATRANDOM-28438702,1
INATRANDOM-81110675,1
INATRANDOM-55005326,1
INATRANDOM-35613709,1
INATRANDOM-60017244,1
INATRANDOM-29347271,1
INATRANDOM-26806385,1
INATRANDOM-110773615,1
INATRANDOM-107132037,1
INATRANDOM-60963163,1
INATRANDOM-28449390,1
INATRANDOM-29412145,1
INATRANDOM-47829557,1
INATRANDOM-83866661,1
INATRANDOM-85652245,1
INATRANDOM-53306524,1
INATRANDOM-47193154,1
INATRANDOM-76370697,1
INATRANDOM-96697246,1
INATRANDOM-107132037_mask,1
INATRANDOM-110322341_mask,1
INATRANDOM-110773615_mask,1
INATRANDOM-115820103_mask,1
INATRANDOM-11805304_mask,1
INATRANDOM-13876951_mask,1
INATRANDOM-15138951_mask,1
INATRANDOM-16062195_mask,1
INATRANDOM-1637768_mask,1
INATRANDOM-1738422_mask,1
INATRANDOM-18953301_mask,1
INATRANDOM-20192065_mask,1
INATRANDOM-24064580_mask,1
INATRANDOM-25711605_mask,1
INATRANDOM-26806385_mask,1
INATRANDOM-26950274_mask,1
INATRANDOM-28343884_mask,1
INATRANDOM-28438702_mask,1
INATRANDOM-28449390_mask,1
INATRANDOM-28518328_mask,1
INATRANDOM-29347271_mask,1
INATRANDOM-29412145_mask,1
INATRANDOM-29427491_mask,1
INATRANDOM-29440930_mask,1
INATRANDOM-30203058_mask,1
INATRANDOM-3463672_mask,1
INATRANDOM-35613709_mask,1
INATRANDOM-35643126_mask,1
INATRANDOM-35739986_mask,1
INATRANDOM-36094565_mask,1
INATRANDOM-3890044_mask,1
INATRANDOM-42084680_mask,1
INATRANDOM-47193154_mask,1
INATRANDOM-47580331_mask,1
INATRANDOM-47829557_mask,1
INATRANDOM-49071644_mask,1
INATRANDOM-49121632_mask,1
INATRANDOM-49421864_mask,1
INATRANDOM-50518821_mask,1
INATRANDOM-50724075_mask,1
INATRANDOM-51324309_mask,1
INATRANDOM-52407126_mask,1
INATRANDOM-53126727_mask,1
INATRANDOM-53306524_mask,1
INATRANDOM-53552400_mask,1
INATRANDOM-5440722_mask,1
INATRANDOM-55005326_mask,1
INATRANDOM-5576669_mask,1
INATRANDOM-58733900_mask,1
INATRANDOM-58800864_mask,1
INATRANDOM-59636869_mask,1
INATRANDOM-60017244_mask,1
INATRANDOM-60219007_mask,1
INATRANDOM-60963163_mask,1
INATRANDOM-61515501_mask,1
INATRANDOM-64802707_mask,1
INATRANDOM-6682596_mask,1
INATRANDOM-76370697_mask,1
INATRANDOM-77656050_mask,1
INATRANDOM-78624678_mask,1
INATRANDOM-78758800_mask,1
INATRANDOM-81110675_mask,1
INATRANDOM-83390864_mask,1
INATRANDOM-83866661_mask,1
INATRANDOM-85652245_mask,1
INATRANDOM-86498620_mask,1
INATRANDOM-89408155_mask,1
INATRANDOM-89428513_mask,1
INATRANDOM-90707228_mask,1
INATRANDOM-90837080_mask,1
INATRANDOM-91344157_mask,1
INATRANDOM-9229367_mask,1
INATRANDOM-92975696_mask,1
INATRANDOM-96697246_mask,1
INATRANDOM-98745130_mask,1
