file,has_segment
INATRANDOM-1070520,1
INATRANDOM-13751840,1
INATRANDOM-13764408,1
INATRANDOM-14087380,1
INATRANDOM-14730277,1
INATRANDOM-15145235,1
INATRANDOM-15250675,1
INATRANDOM-17127871,1
INATRANDOM-28645879,1
INATRANDOM-28770069,1
INATRANDOM-29210931,1
INATRANDOM-29289549,1
INATRANDOM-29293484,1
INATRANDOM-2998967,1
INATRANDOM-30083078,1
INATRANDOM-32248244,1
INATRANDOM-341800,1
INATRANDOM-34491323,1
INATRANDOM-3478284,1
INATRANDOM-3537251,1
INATRANDOM-36081626,1
INATRANDOM-4186710,1
INATRANDOM-6738188,1
INATRANDOM-7198278,1
