file,is_perfect,class,time
100596025.jpg,0,lateral,11.578999999999724
101284415.jpg,0,lateral,4.014999999999418
101356433.jpg,0,lateral,2.735000000000582
10227425.jpg,0,lateral,9.703000000001339
12744191.jpg,bad,bad,1.8439999999991414
13303974.jpg,0,dorsal,6.67200000000048
13496651.jpg,bad,bad,1.9840000000003783
13565578.jpg,bad,bad,1.639999999999418
13715392.jpg,bad,bad,1.2039999999997235
13872063.jpg,0,lateral,7.139999999999418
14038798.jpg,bad,bad,1.1720000000004802
14070149.jpg,bad,bad,1.2340000000003783
14399543.jpg,0,lateral,3.57799999999952
14479984.jpg,bad,bad,5.109000000000378
14692426.jpg,bad,bad,10.29700000000048
14732587.jpg,1,lateral,3.20299999999952
14807040.jpg,0,dorsal,12.110000000000582
15008619.jpg,1,lateral,5.311999999999898
15243698.jpg,bad,bad,5.32799999999952
15274093.jpg,0,lateral,20.71899999999914
15281410.jpg,1,lateral,2.9689999999991414
15325123.jpg,bad,bad,1.9220000000004802
15666166.jpg,0,lateral,5.436999999999898
15799332.jpg,0,lateral,6.343000000000757
15915265.jpg,bad,bad,1.0470000000004802
16056650.jpg,bad,bad,7.0
1622527.jpg,0,lateral,6.75
16242159.jpg,bad,bad,1.2340000000003783
16314171.jpg,bad,bad,0.8280000000013388
17007370.jpg,bad,bad,2.313000000000102
1724496.jpg,0,dorsal,6.078000000001339
17778683.jpg,bad,bad,3.32799999999952
18615843.jpg,1,lateral,14.54700000000048
1869059.jpg,bad,bad,0.875
21215069.jpg,bad,bad,1.0939999999991414
217606.jpg,0,lateral,3.375
22796037.jpg,bad,bad,0.9059999999990396
22858903.jpg,bad,bad,0.7029999999995198
24703853.jpg,bad,bad,2.75
25532398.jpg,bad,bad,1.3119999999998981
25586130.jpg,0,lateral,7.625
25846601.jpg,bad,bad,1.4069999999992433
27247190.jpg,bad,bad,3.7339999999985594
27344797.jpg,0,dorsal,3.3439999999991414
27430884.jpg,bad,bad,1.764999999999418
27723169.jpg,bad,bad,1.4689999999991414
27806191.jpg,0,dorsal,8.281000000000859
28047896.jpg,bad,bad,10.656000000000859
28254330.jpg,bad,bad,0.9210000000002765
28442602.jpg,0,dorsal,3.25
28641663.jpg,0,lateral,6.625
28657784.jpg,1,dorsal,2.45299999999952
29069372.jpg,bad,bad,8.688000000000102
29072207.jpg,0,lateral,11.09400000000096
29380700.jpg,bad,bad,1.625
29503915.jpg,bad,bad,0.875
29544805.jpg,0,lateral,50.625
30270099.jpg,bad,bad,1.139999999999418
30300880.jpg,bad,bad,2.1560000000008586
30474330.jpg,1,dorsal,2.6409999999996217
30567047.jpg,0,dorsal,17.936999999999898
30678802.jpg,bad,bad,1.625
30796631.jpg,0,lateral,10.343999999999141
31339572.jpg,bad,bad,1.4060000000008586
31701472.jpg,bad,bad,13.968000000000757
31895283.jpg,1,lateral,8.313000000000102
32028420.jpg,bad,bad,5.936999999999898
33500359.jpg,bad,bad,2.6560000000008586
33732593.jpg,bad,bad,2.92200000000048
33877301.jpg,bad,bad,1.2659999999996217
34449986.jpg,bad,bad,1.3280000000013388
34517367.jpg,0,lateral,6.92200000000048
35023729.jpg,0,dorsal,5.218999999999141
35163746.jpg,1,dorsal,3.25
35208284.jpg,bad,bad,0.7339999999985594
35586959.jpg,1,lateral,3.7339999999985594
35606205.jpg,bad,bad,10.718999999999141
35645158.jpg,0,lateral,4.781000000000859
35931837.jpg,1,lateral,3.25
361601.jpg,bad,bad,2.188000000000102
3635127.jpg,bad,bad,2.7819999999992433
36559890.jpg,0,dorsal,11.234000000000378
3700855.jpg,0,dorsal,3.25
37573634.jpg,bad,bad,1.625
37665341.jpg,0,lateral,4.59400000000096
3814959.jpg,bad,bad,0.9840000000003783
3908926.jpg,1,lateral,8.218999999999141
40998323.jpg,1,dorsal,9.0
41974801.jpg,bad,bad,16.25
4228106.jpg,0,lateral,11.048000000000684
42351590.jpg,0,lateral,15.423000000000684
4333387.jpg,0,lateral,2.359999999998763
46399392.jpg,bad,bad,2.4059999999990396
4657545.jpg,bad,bad,0.6880000000001019
46934060.jpg,bad,bad,1.235000000000582
46990813.jpg,bad,bad,12.360000000000582
47385077.jpg,0,lateral,6.125
48194927.jpg,1,lateral,3.9840000000003783
4895552.jpg,1,lateral,2.3909999999996217
49568006.jpg,0,dorsal,3.3280000000013388
50819310.jpg,bad,bad,1.875
51720002.jpg,bad,bad,1.125
51730544.jpg,0,dorsal,4.860000000000582
51812273.jpg,0,dorsal,5.25
51891363.jpg,0,lateral,6.031000000000859
53084632.jpg,0,lateral,6.593000000000757
53321180.jpg,0,dorsal,2.985000000000582
53532560.jpg,bad,bad,1.5159999999996217
53770393.jpg,0,dorsal,5.406000000000859
54111444.jpg,bad,bad,2.2340000000003783
54114167.jpg,bad,bad,4.0
5450532.jpg,bad,bad,2.9060000000008586
55087849.jpg,0,lateral,10.42200000000048
55488281.jpg,1,lateral,15.34400000000096
55621030.jpg,0,lateral,57.28099999999904
56075457.jpg,bad,bad,2.140000000001237
56326404.jpg,1,lateral,10.328999999999724
56504810.jpg,1,dorsal,3.75
57023731.jpg,1,dorsal,3.79700000000048
57607285.jpg,1,dorsal,1.610000000000582
57956060.jpg,1,dorsal,1.4210000000002765
57985494.jpg,bad,bad,2.5940000000009604
5844918.jpg,0,dorsal,4.82799999999952
58543271.jpg,bad,bad,1.5
58916326.jpg,bad,bad,0.9369999999998981
59863434.jpg,0,lateral,9.671999999998661
60647090.jpg,1,lateral,2.45299999999952
61988613.jpg,bad,bad,1.3439999999991414
62137457.jpg,bad,bad,1.2189999999991414
63633435.jpg,bad,bad,1.2030000000013388
63924389.jpg,bad,bad,2.92200000000048
6730883.jpg,bad,bad,3.0
6739095.jpg,bad,bad,6.625
68573640.jpg,bad,bad,2.2489999999997963
68707051.jpg,0,dorsal,5.313000000000102
6902290.jpg,0,lateral,6.46900000000096
6925183.jpg,bad,bad,6.07799999999952
69886929.jpg,bad,bad,1.4220000000004802
7098204.jpg,0,dorsal,10.936999999999898
7112722.jpg,bad,bad,7.71900000000096
72938513.jpg,bad,bad,6.20299999999952
72983132.jpg,0,lateral,3.7340000000003783
7334909.jpg,bad,bad,1.139999999999418
74102606.jpg,bad,bad,1.3119999999998981
74104168.jpg,1,dorsal,2.8430000000007567
7467937.jpg,0,dorsal,12.734000000000378
77743697.jpg,bad,bad,1.0779999999995198
78852126.jpg,0,lateral,4.781999999999243
79423850.jpg,0,dorsal,8.078000000001339
7971641.jpg,bad,bad,1.8119999999998981
79729397.jpg,1,lateral,7.375
80821965.jpg,bad,bad,1.3119999999998981
82310232.jpg,bad,bad,0.9840000000003783
82736656.jpg,bad,bad,2.54700000000048
83171724.jpg,0,dorsal,2.875
83187801.jpg,1,dorsal,2.813000000000102
8343989.jpg,bad,bad,0.8119999999998981
83680214.jpg,bad,bad,0.8909999999996217
84364268.jpg,bad,bad,4.031000000000859
84738329.jpg,bad,bad,5.313000000000102
84793550.jpg,0,lateral,10.859000000000378
85038839.jpg,0,dorsal,2.1090000000003783
85419349.jpg,bad,bad,3.139999999999418
86087970.jpg,bad,bad,2.0
86245303.jpg,0,lateral,4.57799999999952
8650092.jpg,1,dorsal,3.3590000000003783
87421364.jpg,0,lateral,2.67200000000048
87432878.jpg,0,dorsal,2.2660000000014406
87782314.jpg,bad,bad,12.59400000000096
88052708.jpg,0,lateral,10.75
88128802.jpg,bad,bad,1.0310000000008586
88394540.jpg,bad,bad,0.8279999999995198
888794.jpg,bad,bad,9.828000000001339
89208752.jpg,0,dorsal,2.7659999999996217
89388720.jpg,bad,bad,0.6400000000012369
89417820.jpg,bad,bad,1.1869999999998981
89529110.jpg,1,lateral,2.561999999999898
89723858.jpg,bad,bad,4.890999999999622
89976333.jpg,bad,bad,3.765000000001237
90545388.jpg,bad,bad,0.8130000000001019
90920685.jpg,0,lateral,2.2659999999996217
91701916.jpg,0,lateral,1.4060000000008586
91925562.jpg,0,dorsal,3.82799999999952
92001831.jpg,bad,bad,1.7970000000004802
92705415.jpg,bad,bad,2.29700000000048
92719183.jpg,bad,bad,5.17200000000048
92977262.jpg,1,lateral,14.985000000002401
93766320.jpg,bad,bad,13.235000000000582
93921189.jpg,bad,bad,0.9210000000002765
94127757.jpg,bad,bad,0.9529999999995198
94180172.jpg,1,dorsal,8.5
94220831.jpg,bad,bad,4.25
94639937.jpg,bad,bad,3.859999999998763
95076861.jpg,1,dorsal,4.90599999999904
95091755.jpg,bad,bad,1.610000000000582
96709471.jpg,bad,bad,1.1880000000001019
9724716.jpg,bad,bad,7.531000000000859
97391500.jpg,bad,bad,0.9060000000008586
97668849.jpg,bad,bad,1.25
9867766.jpg,bad,bad,0.9059999999990396
