file,has_segment
INATRANDOM-1540145,1
INATRANDOM-17396628,1
INATRANDOM-210309,1
INATRANDOM-21811421,1
INATRANDOM-24425404,1
INATRANDOM-25463530,1
INATRANDOM-26520418,1
INATRANDOM-29280850,1
INATRANDOM-30080044,1
INATRANDOM-31170955,1
INATRANDOM-33254118,1
INATRANDOM-40342590,1
INATRANDOM-48482800,1
INATRANDOM-49974649,1
INATRANDOM-50327937,1
INATRANDOM-50659252,1
INATRANDOM-53286007,1
INATRANDOM-55761987,1
INATRANDOM-57304136,1
INATRANDOM-64728292,1
INATRANDOM-6968637,1
INATRANDOM-72653929,1
INATRANDOM-77046811,1
INATRANDOM-80645162,1
INATRANDOM-82532936,1
INATRANDOM-84619959,1
INATRANDOM-85683034,1
INATRANDOM-86646383,1
INATRANDOM-87648051,1
INATRANDOM-92308216,1
INATRANDOM-93799495,1
INATRANDOM-98566651,1
INATRANDOM-13962100,1
INATRANDOM-31381441,1
INATRANDOM-7660492,1
INATRANDOM-77710301,1
INATRANDOM-83297308,1
INATRANDOM-29637671,1
INATRANDOM-16301992,1
INATRANDOM-56477664,1
INATRANDOM-91411321,1
INATRANDOM-25814653,1
INATRANDOM-14123470,1
INATRANDOM-26878051,1
INATRANDOM-97800123,1
INATRANDOM-99673372,1
INATRANDOM-70917436,1
INATRANDOM-86000066,1
INATRANDOM-107204038,1
INATRANDOM-86818497,1
INATRANDOM-30653746,1
INATRANDOM-26320675,1
INATRANDOM-17593591,1
INATRANDOM-28533015,1
INATRANDOM-89509873,1
INATRANDOM-54682425,1
INATRANDOM-81914724,1
INATRANDOM-54291494,1
INATRANDOM-1163832,1
INATRANDOM-8236665,1
INATRANDOM-113539403,1
INATRANDOM-10551184,1
INATRANDOM-26369415,1
INATRANDOM-24635495,1
INATRANDOM-9900864,1
INATRANDOM-59864638,1
INATRANDOM-83017240,1
INATRANDOM-83563592,1
INATRANDOM-7641343,1
INATRANDOM-30463996,1
INATRANDOM-28193429,1
INATRANDOM-28028471,1
INATRANDOM-1368211,1
INATRANDOM-89250223,1
INATRANDOM-5276068,1
INATRANDOM-1540145_mask,1
INATRANDOM-17396628_mask,1
INATRANDOM-210309_mask,1
INATRANDOM-21811421_mask,1
INATRANDOM-24425404_mask,1
INATRANDOM-25463530_mask,1
INATRANDOM-26520418_mask,1
INATRANDOM-29280850_mask,1
INATRANDOM-30080044_mask,1
INATRANDOM-31170955_mask,1
INATRANDOM-33254118_mask,1
INATRANDOM-40342590_mask,1
INATRANDOM-48482800_mask,1
INATRANDOM-49974649_mask,1
INATRANDOM-50327937_mask,1
INATRANDOM-50659252_mask,1
INATRANDOM-53286007_mask,1
INATRANDOM-55761987_mask,1
INATRANDOM-57304136_mask,1
INATRANDOM-64728292_mask,1
INATRANDOM-6968637_mask,1
INATRANDOM-72653929_mask,1
INATRANDOM-77046811_mask,1
INATRANDOM-80645162_mask,1
INATRANDOM-82532936_mask,1
INATRANDOM-84619959_mask,1
INATRANDOM-85683034_mask,1
INATRANDOM-86646383_mask,1
INATRANDOM-87648051_mask,1
INATRANDOM-92308216_mask,1
INATRANDOM-93799495_mask,1
INATRANDOM-98566651_mask,1
INATRANDOM-13962100_mask,1
INATRANDOM-31381441_mask,1
INATRANDOM-7660492_mask,1
INATRANDOM-77710301_mask,1
INATRANDOM-83297308_mask,1
INATRANDOM-29637671_mask,1
INATRANDOM-16301992_mask,1
INATRANDOM-56477664_mask,1
INATRANDOM-91411321_mask,1
INATRANDOM-25814653_mask,1
INATRANDOM-14123470_mask,1
INATRANDOM-26878051_mask,1
INATRANDOM-97800123_mask,1
INATRANDOM-99673372_mask,1
INATRANDOM-70917436_mask,1
INATRANDOM-86000066_mask,1
INATRANDOM-107204038_mask,1
INATRANDOM-86818497_mask,1
INATRANDOM-30653746_mask,1
INATRANDOM-26320675_mask,1
INATRANDOM-28533015_mask,1
INATRANDOM-89509873_mask,1
INATRANDOM-54682425_mask,1
INATRANDOM-81914724_mask,1
INATRANDOM-54291494_mask,1
INATRANDOM-1163832_mask,1
INATRANDOM-8236665_mask,1
INATRANDOM-113539403_mask,1
INATRANDOM-10551184_mask,1
INATRANDOM-26369415_mask,1
INATRANDOM-24635495_mask,1
INATRANDOM-9900864_mask,1
INATRANDOM-59864638_mask,1
INATRANDOM-83017240_mask,1
INATRANDOM-83563592_mask,1
INATRANDOM-7641343_mask,1
INATRANDOM-30463996_mask,1
INATRANDOM-28193429_mask,1
INATRANDOM-28028471_mask,1
INATRANDOM-1368211_mask,1
INATRANDOM-89250223_mask,1
INATRANDOM-5276068_mask,1
