file,has_segment
INATRANDOM-13902889,1
INATRANDOM-1540145,1
INATRANDOM-18610886,1
INATRANDOM-22243032,1
INATRANDOM-25463530,1
INATRANDOM-27733655,1
INATRANDOM-28805759,1
INATRANDOM-30392004,1
INATRANDOM-334783,1
INATRANDOM-3518644,1
INATRANDOM-43010909,1
INATRANDOM-48856352,1
INATRANDOM-49382009,1
INATRANDOM-51034990,1
INATRANDOM-53064516,1
INATRANDOM-53171356,1
INATRANDOM-53660865,1
INATRANDOM-55194883,1
INATRANDOM-55556794,1
INATRANDOM-70226677,1
INATRANDOM-70709699,1
INATRANDOM-7663331,1
INATRANDOM-78817142,1
INATRANDOM-82105642,1
INATRANDOM-88595665,1
INATRANDOM-90908209,1
INATRANDOM-96818424,1
INATRANDOM-97666246,1
INATRANDOM-5261404,1
INATRANDOM-77710301,1
INATRANDOM-99539429,1
INATRANDOM-64155221,1
INATRANDOM-30019015,1
INATRANDOM-66498878,1
INATRANDOM-13902889_mask,1
INATRANDOM-1540145_mask,1
INATRANDOM-18610886_mask,1
INATRANDOM-22243032_mask,1
INATRANDOM-25463530_mask,1
INATRANDOM-27733655_mask,1
INATRANDOM-28805759_mask,1
INATRANDOM-30331463_mask,1
INATRANDOM-30392004_mask,1
INATRANDOM-334783_mask,1
INATRANDOM-3518644_mask,1
INATRANDOM-43010909_mask,1
INATRANDOM-48856352_mask,1
INATRANDOM-49382009_mask,1
INATRANDOM-51034990_mask,1
INATRANDOM-53064516_mask,1
INATRANDOM-53171356_mask,1
INATRANDOM-53660865_mask,1
INATRANDOM-55194883_mask,1
INATRANDOM-55556794_mask,1
INATRANDOM-70226677_mask,1
INATRANDOM-70709699_mask,1
INATRANDOM-7663331_mask,1
INATRANDOM-78817142_mask,1
INATRANDOM-82105642_mask,1
INATRANDOM-88595665_mask,1
INATRANDOM-90908209_mask,1
INATRANDOM-96818424_mask,1
INATRANDOM-97666246_mask,1
INATRANDOM-5261404_mask,1
INATRANDOM-77710301_mask,1
INATRANDOM-99539429_mask,1
INATRANDOM-64155221_mask,1
