file,has_segment
INATRANDOM-100108757,1
INATRANDOM-12578649,1
INATRANDOM-15119988,1
INATRANDOM-16156739,1
INATRANDOM-17252164,1
INATRANDOM-26345693,1
INATRANDOM-27144136,1
INATRANDOM-30809013,1
INATRANDOM-30946544,1
INATRANDOM-31378811,1
INATRANDOM-31514570,1
INATRANDOM-32083196,1
INATRANDOM-46987500,1
INATRANDOM-48493319,1
INATRANDOM-50327678,1
INATRANDOM-6041658,1
INATRANDOM-64167041,1
INATRANDOM-64802707,1
INATRANDOM-6682596,1
INATRANDOM-77906032,1
INATRANDOM-81955599,1
INATRANDOM-84800809,1
INATRANDOM-87069068,1
INATRANDOM-89092236,1
INATRANDOM-89637391,1
INATRANDOM-91893537,1
INATRANDOM-92526361,1
INATRANDOM-9723514,1
INATRANDOM-56970598,1
INATRANDOM-115820103,1
INATRANDOM-84123389,1
INATRANDOM-30794534,1
INATRANDOM-95827815,1
INATRANDOM-86294233,1
INATRANDOM-49266829,1
INATRANDOM-58678929,1
INATRANDOM-109800048,1
INATRANDOM-27891861,1
INATRANDOM-54324757,1
INATRANDOM-82223041,1
INATRANDOM-93268005,1
INATRANDOM-13646762,1
INATRANDOM-49186338,1
INATRANDOM-52407126,1
INATRANDOM-49580154,1
INATRANDOM-16774308,1
INATRANDOM-68745498,1
INATRANDOM-31253921,1
INATRANDOM-97203155,1
INATRANDOM-30306753,1
INATRANDOM-3390117,1
INATRANDOM-83008685,1
INATRANDOM-47435490,1
INATRANDOM-6697078,1
INATRANDOM-26813906,1
INATRANDOM-55038277,1
INATRANDOM-28438702,1
INATRANDOM-81110675,1
INATRANDOM-11842471,1
INATRANDOM-89471320,1
INATRANDOM-55853535,1
INATRANDOM-60017244,1
INATRANDOM-26806385,1
INATRANDOM-49075574,1
INATRANDOM-82330210,1
INATRANDOM-51055966,1
INATRANDOM-14485576,1
INATRANDOM-93517699,1
INATRANDOM-76370697,1
INATRANDOM-56382579,1
INATRANDOM-52465755,1
INATRANDOM-47009106,1
INATRANDOM-100108757_mask,1
INATRANDOM-12578649_mask,1
INATRANDOM-15119988_mask,1
INATRANDOM-16156739_mask,1
INATRANDOM-17252164_mask,1
INATRANDOM-26345693_mask,1
INATRANDOM-27144136_mask,1
INATRANDOM-30809013_mask,1
INATRANDOM-30946544_mask,1
INATRANDOM-31378811_mask,1
INATRANDOM-31514570_mask,1
INATRANDOM-32083196_mask,1
INATRANDOM-46987500_mask,1
INATRANDOM-48493319_mask,1
INATRANDOM-50327678_mask,1
INATRANDOM-6041658_mask,1
INATRANDOM-64167041_mask,1
INATRANDOM-64802707_mask,1
INATRANDOM-6682596_mask,1
INATRANDOM-77906032_mask,1
INATRANDOM-81955599_mask,1
INATRANDOM-84800809_mask,1
INATRANDOM-87069068_mask,1
INATRANDOM-89092236_mask,1
INATRANDOM-89637391_mask,1
INATRANDOM-91893537_mask,1
INATRANDOM-92526361_mask,1
INATRANDOM-9723514_mask,1
INATRANDOM-56970598_mask,1
INATRANDOM-115820103_mask,1
INATRANDOM-84123389_mask,1
INATRANDOM-30794534_mask,1
INATRANDOM-95827815_mask,1
INATRANDOM-86294233_mask,1
INATRANDOM-49266829_mask,1
INATRANDOM-58678929_mask,1
INATRANDOM-109800048_mask,1
INATRANDOM-27891861_mask,1
INATRANDOM-54324757_mask,1
INATRANDOM-82223041_mask,1
INATRANDOM-93268005_mask,1
INATRANDOM-13646762_mask,1
INATRANDOM-49186338_mask,1
INATRANDOM-52407126_mask,1
INATRANDOM-49580154_mask,1
INATRANDOM-16774308_mask,1
INATRANDOM-68745498_mask,1
INATRANDOM-97203155_mask,1
INATRANDOM-30306753_mask,1
INATRANDOM-3390117_mask,1
INATRANDOM-83008685_mask,1
INATRANDOM-47435490_mask,1
INATRANDOM-6697078_mask,1
INATRANDOM-26813906_mask,1
INATRANDOM-55038277_mask,1
INATRANDOM-28438702_mask,1
INATRANDOM-81110675_mask,1
INATRANDOM-11842471_mask,1
INATRANDOM-89471320_mask,1
INATRANDOM-55853535_mask,1
INATRANDOM-60017244_mask,1
INATRANDOM-26806385_mask,1
INATRANDOM-49075574_mask,1
INATRANDOM-82330210_mask,1
INATRANDOM-51055966_mask,1
INATRANDOM-14485576_mask,1
INATRANDOM-93517699_mask,1
INATRANDOM-76370697_mask,1
INATRANDOM-56382579_mask,1
INATRANDOM-52465755_mask,1
INATRANDOM-47009106_mask,1
