file,has_segment
INATRANDOM-100860282,1
INATRANDOM-13072287,1
INATRANDOM-14829946,1
INATRANDOM-16372491,1
INATRANDOM-23547238,1
INATRANDOM-25533209,1
INATRANDOM-30397595,1
INATRANDOM-31478031,1
INATRANDOM-31880848,1
INATRANDOM-33225085,1
INATRANDOM-3372081,1
INATRANDOM-34871587,1
INATRANDOM-45389259,1
INATRANDOM-54424869,1
INATRANDOM-57287604,1
INATRANDOM-69390720,1
INATRANDOM-80050257,1
INATRANDOM-82098356,1
INATRANDOM-83013305,1
INATRANDOM-858162,1
INATRANDOM-89249852,1
INATRANDOM-89836142,1
INATRANDOM-93220866,1
INATRANDOM-94627519,1
INATRANDOM-95206915,1
INATRANDOM-97739785,1
INATRANDOM-56184968,1
INATRANDOM-117047964,1
INATRANDOM-90259217,1
INATRANDOM-6934408,1
INATRANDOM-13927727,1
INATRANDOM-85536175,1
INATRANDOM-47044573,1
INATRANDOM-8810038,1
INATRANDOM-90048780,1
INATRANDOM-92017324,1
INATRANDOM-13021459,1
INATRANDOM-51419626,1
INATRANDOM-28110960,1
INATRANDOM-28993995,1
INATRANDOM-50613631,1
INATRANDOM-87349845,1
INATRANDOM-34116427,1
INATRANDOM-7306113,1
INATRANDOM-24826155,1
INATRANDOM-21490720,1
INATRANDOM-51971447,1
INATRANDOM-111552526,1
INATRANDOM-15104137,1
INATRANDOM-8324239,1
INATRANDOM-86463508,1
INATRANDOM-55206140,1
INATRANDOM-3874661,1
INATRANDOM-49182558,1
INATRANDOM-1739985,1
INATRANDOM-374012,1
INATRANDOM-8313014,1
INATRANDOM-3555638,1
INATRANDOM-50428737,1
INATRANDOM-14545242,1
INATRANDOM-59475539,1
INATRANDOM-96021462,1
INATRANDOM-64900372,1
INATRANDOM-8399973,1
INATRANDOM-47784349,1
INATRANDOM-7256044,1
INATRANDOM-13494471,1
INATRANDOM-6439019,1
INATRANDOM-439906,1
INATRANDOM-100860282_mask,1
INATRANDOM-13072287_mask,1
INATRANDOM-14829946_mask,1
INATRANDOM-16372491_mask,1
INATRANDOM-23547238_mask,1
INATRANDOM-25533209_mask,1
INATRANDOM-30397595_mask,1
INATRANDOM-31478031_mask,1
INATRANDOM-31880848_mask,1
INATRANDOM-33225085_mask,1
INATRANDOM-3372081_mask,1
INATRANDOM-34871587_mask,1
INATRANDOM-45389259_mask,1
INATRANDOM-54424869_mask,1
INATRANDOM-57287604_mask,1
INATRANDOM-69390720_mask,1
INATRANDOM-80050257_mask,1
INATRANDOM-82098356_mask,1
INATRANDOM-83013305_mask,1
INATRANDOM-858162_mask,1
INATRANDOM-89249852_mask,1
INATRANDOM-89836142_mask,1
INATRANDOM-93220866_mask,1
INATRANDOM-94627519_mask,1
INATRANDOM-95206915_mask,1
INATRANDOM-97739785_mask,1
INATRANDOM-56184968_mask,1
INATRANDOM-117047964_mask,1
INATRANDOM-90259217_mask,1
INATRANDOM-6934408_mask,1
INATRANDOM-13927727_mask,1
INATRANDOM-85536175_mask,1
INATRANDOM-47044573_mask,1
INATRANDOM-8810038_mask,1
INATRANDOM-90048780_mask,1
INATRANDOM-92017324_mask,1
INATRANDOM-13021459_mask,1
INATRANDOM-51419626_mask,1
INATRANDOM-28110960_mask,1
INATRANDOM-28993995_mask,1
INATRANDOM-50613631_mask,1
INATRANDOM-87349845_mask,1
INATRANDOM-34116427_mask,1
INATRANDOM-7306113_mask,1
INATRANDOM-24826155_mask,1
INATRANDOM-21490720_mask,1
INATRANDOM-51971447_mask,1
INATRANDOM-111552526_mask,1
INATRANDOM-15104137_mask,1
INATRANDOM-8324239_mask,1
INATRANDOM-86463508_mask,1
INATRANDOM-55206140_mask,1
INATRANDOM-3874661_mask,1
INATRANDOM-49182558_mask,1
INATRANDOM-1739985_mask,1
INATRANDOM-374012_mask,1
INATRANDOM-8313014_mask,1
INATRANDOM-3555638_mask,1
INATRANDOM-50428737_mask,1
INATRANDOM-14545242_mask,1
INATRANDOM-59475539_mask,1
INATRANDOM-96021462_mask,1
INATRANDOM-64900372_mask,1
INATRANDOM-8399973_mask,1
INATRANDOM-47784349_mask,1
INATRANDOM-7256044_mask,1
INATRANDOM-13494471_mask,1
INATRANDOM-6439019_mask,1
INATRANDOM-439906_mask,1
