file,has_segment
INATRANDOM-13712993,1
INATRANDOM-14778069,1
INATRANDOM-15699793,1
INATRANDOM-1702396,1
INATRANDOM-19790108,1
INATRANDOM-23567781,1
INATRANDOM-24126477,1
INATRANDOM-26949031,1
INATRANDOM-28009142,1
INATRANDOM-2849761,1
INATRANDOM-29055908,1
INATRANDOM-29545551,1
INATRANDOM-30187003,1
INATRANDOM-31004110,1
INATRANDOM-31216015,1
INATRANDOM-31765717,1
INATRANDOM-32262029,1
INATRANDOM-32614488,1
INATRANDOM-3612587,1
INATRANDOM-39068374,1
INATRANDOM-40178348,1
INATRANDOM-41147421,1
INATRANDOM-42042128,1
INATRANDOM-4263361,1
INATRANDOM-48216954,1
INATRANDOM-48800138,1
INATRANDOM-48849648,1
INATRANDOM-50223515,1
INATRANDOM-55169974,1
INATRANDOM-5535855,1
INATRANDOM-55481331,1
INATRANDOM-5830493,1
INATRANDOM-58978943,1
INATRANDOM-59077596,1
INATRANDOM-59943821,1
INATRANDOM-61515630,1
INATRANDOM-70714482,1
INATRANDOM-73349266,1
INATRANDOM-73806098,1
INATRANDOM-80666337,1
INATRANDOM-81644872,1
INATRANDOM-8284087,1
INATRANDOM-84086131,1
INATRANDOM-86008291,1
INATRANDOM-87648051,1
INATRANDOM-88208084,1
INATRANDOM-89265054,1
INATRANDOM-90212573,1
INATRANDOM-9511404,1
INATRANDOM-9619360,1
